frame,render,alpha_overlay,diff_x4,edge_overlay,mae_rgb,mse_rgb,psnr_db,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_iou
000026.jpg,direct_render/000026_direct_render.jpg,alpha/000026_direct_query_alpha.jpg,diff/000026_direct_query_diff_x4.jpg,edges/000026_direct_query_edges.jpg,2.3726637098524304,10.54692268371582,37.89954598526577,1.0,46330,45699,0.820770022158911
000027.jpg,direct_render/000027_direct_render.jpg,alpha/000027_direct_query_alpha.jpg,diff/000027_direct_query_diff_x4.jpg,edges/000027_direct_query_edges.jpg,2.3741997612847223,10.54578685760498,37.9000137137118,1.0,45747,45302,0.8148458211245988
000028.jpg,direct_render/000028_direct_render.jpg,alpha/000028_direct_query_alpha.jpg,diff/000028_direct_query_diff_x4.jpg,edges/000028_direct_query_edges.jpg,2.3733707004123263,10.523418426513672,37.909235219421795,1.0,45875,45953,0.8220202781801226
000029.jpg,direct_render/000029_direct_render.jpg,alpha/000029_direct_query_alpha.jpg,diff/000029_direct_query_diff_x4.jpg,edges/000029_direct_query_edges.jpg,2.3743133544921875,10.569605827331543,37.89021569417327,1.0,46199,45495,0.819469799190412
000030.jpg,direct_render/000030_direct_render.jpg,alpha/000030_direct_query_alpha.jpg,diff/000030_direct_query_diff_x4.jpg,edges/000030_direct_query_edges.jpg,2.3774837917751737,10.584237098693848,37.884208008996275,1.0,45935,45528,0.8242615234258133
000031.jpg,direct_render/000031_direct_render.jpg,alpha/000031_direct_query_alpha.jpg,diff/000031_direct_query_diff_x4.jpg,edges/000031_direct_query_edges.jpg,2.382227579752604,10.635051727294922,37.86340754280867,1.0,46099,45509,0.8231173380035026
000032.jpg,direct_render/000032_direct_render.jpg,alpha/000032_direct_query_alpha.jpg,diff/000032_direct_query_diff_x4.jpg,edges/000032_direct_query_edges.jpg,2.3830362955729165,10.655476570129395,37.855074824020235,1.0,45596,45443,0.8208528341133645
000033.jpg,direct_render/000033_direct_render.jpg,alpha/000033_direct_query_alpha.jpg,diff/000033_direct_query_diff_x4.jpg,edges/000033_direct_query_edges.jpg,2.378875732421875,10.61839771270752,37.87021373032906,1.0,45886,45627,0.8159503115450252
000034.jpg,direct_render/000034_direct_render.jpg,alpha/000034_direct_query_alpha.jpg,diff/000034_direct_query_diff_x4.jpg,edges/000034_direct_query_edges.jpg,2.3766309950086804,10.622626304626465,37.86848457248867,1.0,45887,45280,0.8194100742396424
000035.jpg,direct_render/000035_direct_render.jpg,alpha/000035_direct_query_alpha.jpg,diff/000035_direct_query_diff_x4.jpg,edges/000035_direct_query_edges.jpg,2.38360595703125,10.669304847717285,37.849442367232285,1.0,46211,45836,0.8204778291997943
000036.jpg,direct_render/000036_direct_render.jpg,alpha/000036_direct_query_alpha.jpg,diff/000036_direct_query_diff_x4.jpg,edges/000036_direct_query_edges.jpg,2.388576931423611,10.70085620880127,37.836618325396124,1.0,46081,45915,0.8222081369092422
000037.jpg,direct_render/000037_direct_render.jpg,alpha/000037_direct_query_alpha.jpg,diff/000037_direct_query_diff_x4.jpg,edges/000037_direct_query_edges.jpg,2.3870985243055554,10.67121410369873,37.84866527334681,1.0,46487,45912,0.8173039099992133
000038.jpg,direct_render/000038_direct_render.jpg,alpha/000038_direct_query_alpha.jpg,diff/000038_direct_query_diff_x4.jpg,edges/000038_direct_query_edges.jpg,2.389334784613715,10.732111930847168,37.82395167358524,1.0,46232,45591,0.8159039670925128
000039.jpg,direct_render/000039_direct_render.jpg,alpha/000039_direct_query_alpha.jpg,diff/000039_direct_query_diff_x4.jpg,edges/000039_direct_query_edges.jpg,2.3921017116970487,10.764083862304688,37.81103288201845,1.0,46738,46048,0.8227286121206169
000040.jpg,direct_render/000040_direct_render.jpg,alpha/000040_direct_query_alpha.jpg,diff/000040_direct_query_diff_x4.jpg,edges/000040_direct_query_edges.jpg,2.393244425455729,10.760354042053223,37.812537999482714,1.0,46437,45802,0.8199198942446185
000041.jpg,direct_render/000041_direct_render.jpg,alpha/000041_direct_query_alpha.jpg,diff/000041_direct_query_diff_x4.jpg,edges/000041_direct_query_edges.jpg,2.3907284206814237,10.718229293823242,37.8295731724998,1.0,46585,46063,0.8176253629443616
000042.jpg,direct_render/000042_direct_render.jpg,alpha/000042_direct_query_alpha.jpg,diff/000042_direct_query_diff_x4.jpg,edges/000042_direct_query_edges.jpg,2.390494452582465,10.751395225524902,37.816155338788015,1.0,46466,46225,0.8253805707083637
000043.jpg,direct_render/000043_direct_render.jpg,alpha/000043_direct_query_alpha.jpg,diff/000043_direct_query_diff_x4.jpg,edges/000043_direct_query_edges.jpg,2.3944600423177085,10.77590274810791,37.80626697617595,1.0,46249,45771,0.8255763202793318
000044.jpg,direct_render/000044_direct_render.jpg,alpha/000044_direct_query_alpha.jpg,diff/000044_direct_query_diff_x4.jpg,edges/000044_direct_query_edges.jpg,2.397584703233507,10.795866012573242,37.79822874976131,1.0,46320,46166,0.8231745781422488
000045.jpg,direct_render/000045_direct_render.jpg,alpha/000045_direct_query_alpha.jpg,diff/000045_direct_query_diff_x4.jpg,edges/000045_direct_query_edges.jpg,2.3871273464626737,10.706501007080078,37.834327986821364,1.0,46337,46147,0.8236384430334819
000046.jpg,direct_render/000046_direct_render.jpg,alpha/000046_direct_query_alpha.jpg,diff/000046_direct_query_diff_x4.jpg,edges/000046_direct_query_edges.jpg,2.3970845540364585,10.79331111907959,37.799256650125045,1.0,46835,46301,0.823978692569817
000047.jpg,direct_render/000047_direct_render.jpg,alpha/000047_direct_query_alpha.jpg,diff/000047_direct_query_diff_x4.jpg,edges/000047_direct_query_edges.jpg,2.4013180202907987,10.798830032348633,37.79703655197523,1.0,46168,45543,0.8237516654403723
000048.jpg,direct_render/000048_direct_render.jpg,alpha/000048_direct_query_alpha.jpg,diff/000048_direct_query_diff_x4.jpg,edges/000048_direct_query_edges.jpg,2.3991207546657987,10.809925079345703,37.79257676881251,1.0,46701,46256,0.8224361362165977
000049.jpg,direct_render/000049_direct_render.jpg,alpha/000049_direct_query_alpha.jpg,diff/000049_direct_query_diff_x4.jpg,edges/000049_direct_query_edges.jpg,2.397669474283854,10.763948440551758,37.81108752047235,1.0,46921,46165,0.8214656100185892
000050.jpg,direct_render/000050_direct_render.jpg,alpha/000050_direct_query_alpha.jpg,diff/000050_direct_query_diff_x4.jpg,edges/000050_direct_query_edges.jpg,2.3980305989583335,10.79115104675293,37.80012589346121,1.0,46255,45461,0.8192926427707139
000051.jpg,direct_render/000051_direct_render.jpg,alpha/000051_direct_query_alpha.jpg,diff/000051_direct_query_diff_x4.jpg,edges/000051_direct_query_edges.jpg,2.3995836046006946,10.8045654296875,37.79473057051163,1.0,47552,46609,0.8218950138343363
000052.jpg,direct_render/000052_direct_render.jpg,alpha/000052_direct_query_alpha.jpg,diff/000052_direct_query_diff_x4.jpg,edges/000052_direct_query_edges.jpg,2.401735093858507,10.835359573364258,37.7823703283212,1.0,46864,46150,0.8200211325480374
000053.jpg,direct_render/000053_direct_render.jpg,alpha/000053_direct_query_alpha.jpg,diff/000053_direct_query_diff_x4.jpg,edges/000053_direct_query_edges.jpg,2.4031609429253473,10.84532642364502,37.77837732885207,1.0,46996,46615,0.8252739539055493
000054.jpg,direct_render/000054_direct_render.jpg,alpha/000054_direct_query_alpha.jpg,diff/000054_direct_query_diff_x4.jpg,edges/000054_direct_query_edges.jpg,2.4071214463975696,10.86138916015625,37.771949862589416,1.0,46955,46606,0.820996905350435
000055.jpg,direct_render/000055_direct_render.jpg,alpha/000055_direct_query_alpha.jpg,diff/000055_direct_query_diff_x4.jpg,edges/000055_direct_query_edges.jpg,2.403438991970486,10.854801177978516,37.77458487761727,1.0,46991,46295,0.8200370695541899
000056.jpg,direct_render/000056_direct_render.jpg,alpha/000056_direct_query_alpha.jpg,diff/000056_direct_query_diff_x4.jpg,edges/000056_direct_query_edges.jpg,2.4059821234809027,10.87419605255127,37.76683202169697,1.0,47091,46591,0.825448168355417
000057.jpg,direct_render/000057_direct_render.jpg,alpha/000057_direct_query_alpha.jpg,diff/000057_direct_query_diff_x4.jpg,edges/000057_direct_query_edges.jpg,2.411185370551215,10.923145294189453,37.74732650408934,1.0,46636,45924,0.8204346543416265
000058.jpg,direct_render/000058_direct_render.jpg,alpha/000058_direct_query_alpha.jpg,diff/000058_direct_query_diff_x4.jpg,edges/000058_direct_query_edges.jpg,2.404322306315104,10.854361534118652,37.774760780211864,1.0,47196,46836,0.8286336587452842
000059.jpg,direct_render/000059_direct_render.jpg,alpha/000059_direct_query_alpha.jpg,diff/000059_direct_query_diff_x4.jpg,edges/000059_direct_query_edges.jpg,2.4044053819444446,10.846649169921875,37.777847675471975,1.0,46755,46235,0.8211550890111827
000060.jpg,direct_render/000060_direct_render.jpg,alpha/000060_direct_query_alpha.jpg,diff/000060_direct_query_diff_x4.jpg,edges/000060_direct_query_edges.jpg,2.4073621961805554,10.87224292755127,37.767612132328445,1.0,47218,46713,0.8236904438317866
000061.jpg,direct_render/000061_direct_render.jpg,alpha/000061_direct_query_alpha.jpg,diff/000061_direct_query_diff_x4.jpg,edges/000061_direct_query_edges.jpg,2.4019978841145835,10.83748722076416,37.781517624902065,1.0,47007,46755,0.8291098495932581
000062.jpg,direct_render/000062_direct_render.jpg,alpha/000062_direct_query_alpha.jpg,diff/000062_direct_query_diff_x4.jpg,edges/000062_direct_query_edges.jpg,2.4041934543185763,10.835885047912598,37.78215971679357,1.0,46706,46469,0.8243851817042607
