alt,alt_error_m,east,frame_id,init_xy_error_m,method,north,strategy,xy_error_m,yaw,yaw_error_deg
110.97396087646484,0.7429608764648492,254477.6993564563,000001.jpg,1.8172116355129764,refined,3364551.9473616746,raw_refined_only,2.070274899180827,-151.02272968680728,179.77727031319273
111.76489051245153,1.7858905124515303,254482.84230900044,000002.jpg,5.977795975003348,refined,3364544.2231763126,raw_refined_only,11.835917181660722,-151.18419577291874,179.6158042270813
109.18614391703159,0.3498560829684152,254479.12003441408,000003.jpg,2.081842672395745,refined,3364553.1289835707,raw_refined_only,2.76734475084601,-148.94786061293868,178.14786061293867
108.82957240752876,0.26442759247123604,254479.8451671854,000004.jpg,2.5470765913995095,refined,3364553.3948720493,raw_refined_only,3.4172522220045582,-148.05174411605324,177.25174411605323
109.01435540057719,0.3623554005771865,254481.4483689493,000005.jpg,5.240003235877206,refined,3364552.2688418315,raw_refined_only,5.703099320389642,-153.48369501542197,177.31630498457804
108.05350673943758,0.3594932605624166,254479.06278170395,000006.jpg,6.257274735997921,refined,3364558.7479433445,raw_refined_only,0.5975754120504777,-155.57471616729936,175.22528383270065
109.01232519652694,0.845325196526943,254477.79623414896,000007.jpg,4.478740656197932,refined,3364562.686641686,raw_refined_only,4.129830858064145,-151.73496227618676,179.06503772381325
109.00360284559429,0.9076028455942833,254478.04658789892,000008.jpg,2.512043923212948,refined,3364563.413766805,raw_refined_only,4.130996306517921,-152.0021920438614,178.79780795613863
108.0614648712799,0.04553512872010401,254478.50217864863,000009.jpg,3.529623677223757,refined,3364564.336195527,raw_refined_only,4.190092570842369,-154.0521995669284,176.74780043307157
109.47515938896686,1.3461593889668535,254480.81301695475,000010.jpg,1.2803382648970303,refined,3364561.7328923824,raw_refined_only,0.5025848706616219,-155.9383130875671,174.8616869124329
106.6697431569919,1.5582568430080954,254482.6569493824,000011.jpg,3.203487099633923,refined,3364559.9599073785,raw_refined_only,2.771312991355637,-150.29260530079503,179.49260530079502
109.82029949128628,1.4032994912862762,254484.68366847042,000012.jpg,2.723877216987456,refined,3364558.7668692837,raw_refined_only,5.276141997810704,-147.5146588769661,176.7146588769661
109.46359317470342,1.2135931747034192,254482.3189798702,000013.jpg,2.2348875689085874,refined,3364564.4220276847,raw_refined_only,0.4669609928792829,-156.12410330125982,174.6758966987402
106.72596221603453,1.4540377839654752,254482.2090920505,000014.jpg,2.5811389570430356,refined,3364566.0930484347,raw_refined_only,1.3746215488555475,-149.40934388353247,178.60934388353246
108.17572724167258,0.0472727583274235,254481.07452099517,000015.jpg,2.4619942690420635,refined,3364569.913250186,raw_refined_only,4.6706703443531135,-150.8768436232188,179.9231563767812
106.62516882549971,1.0601688254997157,254486.51746141716,000016.jpg,2.822842154450397,refined,3364561.7816306045,raw_refined_only,5.656996325687366,-151.2268068801254,179.57319311987465
106.26239304896444,1.5703930489644478,254486.39773749668,000017.jpg,2.1525968802951216,refined,3364563.932098531,raw_refined_only,4.2431834619328805,-148.37388055677508,177.57388055677507
100.06874506734312,1.0837450673431164,254482.89051807713,000018.jpg,1.9696578583330149,refined,3364571.7770871874,raw_refined_only,3.852883746965466,-143.6396973801238,172.8396973801238
99.57377127557993,0.5477712755799331,254480.99484282988,000019.jpg,5.4133746982210145,refined,3364577.4280243632,raw_refined_only,9.153736280867022,-151.1818819707923,179.61811802920772
97.69214655458927,1.3478534454107347,254481.328846401,000020.jpg,4.831679570647073,refined,3364578.7926346427,raw_refined_only,9.655249813857228,-148.53165987578345,177.73165987578344
98.54647646192461,0.40252353807538555,254491.9214665221,000021.jpg,6.187424118118592,refined,3364560.337034389,raw_refined_only,12.173883384093758,-156.03208877848098,174.76791122151906
100.977993180044,2.124993180044001,254483.7507828014,000022.jpg,4.601743672001107,refined,3364579.06038878,raw_refined_only,7.666392787708337,-157.9084640654353,172.89153593456467
100.2462530694902,1.4992530694901944,254484.7914101151,000023.jpg,2.7257827861494097,refined,3364577.606046631,raw_refined_only,5.3644353685915585,-149.1147329922619,178.3147329922619
98.78714482393116,0.060144823931153724,254486.2904776686,000024.jpg,2.4094077629936126,refined,3364577.134285232,raw_refined_only,3.6900034043474177,-151.6171692218531,179.18283077814692
99.07491594739258,0.32691594739257823,254486.34804248944,000025.jpg,2.4909342869597335,refined,3364578.4094905052,raw_refined_only,4.257464865756972,-151.1685447085292,179.63145529147084
98.42178720515221,0.34521279484778233,254491.8018401477,000026.jpg,3.9117022155153895,refined,3364570.19804565,raw_refined_only,6.1115171705930065,-145.97629755929955,175.17629755929954
100.14118784014136,1.3771878401413602,254492.5290211615,000027.jpg,4.356765551135366,refined,3364570.3844316998,raw_refined_only,6.833998042681508,-148.6822804157435,177.88228041574348
98.42884661071002,0.28315338928997846,254492.18229594236,000028.jpg,6.327043797561451,refined,3364572.2829559287,raw_refined_only,5.55914264479481,-156.5918432088473,174.2081567911527
98.05990332085639,0.7300966791436139,254485.69829898683,000029.jpg,8.671469170548388,refined,3364587.1444722707,raw_refined_only,10.096647507067544,-153.38939402197562,177.41060597802436
99.01478192210197,0.1282180778980262,254493.37946048562,000030.jpg,3.066628486555273,refined,3364573.3269510865,raw_refined_only,6.293078338034254,-152.2046170600482,178.59538293995183
100.0915676979348,0.03156769793480407,254488.5604978222,000031.jpg,3.3345583950605704,refined,3364584.0154991257,raw_refined_only,4.968555745070194,-147.132898654042,176.332898654042
98.55814519431442,1.8068548056855747,254490.42405049442,000032.jpg,1.5980659612311043,refined,3364583.3905527606,raw_refined_only,2.950159430441249,-156.59032082043328,174.2096791795667
101.54360800795257,0.9436080079525766,254495.04046371748,000033.jpg,2.972509113967172,refined,3364576.6016292623,raw_refined_only,5.770794514011694,-148.62594794231472,177.8259479423147
103.67348658852279,1.1504865885227957,254492.50092706704,000034.jpg,4.654874590987484,refined,3364582.832378293,raw_refined_only,0.5467491582794098,-151.24581449015494,179.55418550984507
109.2938576694578,0.41514233054220995,254494.4532711375,000035.jpg,3.0339752336628685,refined,3364581.5035105753,raw_refined_only,2.249511706257762,-155.32770806055814,175.4722919394419
109.55198718421161,0.30598718421161664,254493.42717065584,000036.jpg,1.6656449694115103,refined,3364585.199730325,raw_refined_only,0.9678162534322143,-152.1526498530196,178.64735014698044
109.18422797415406,0.4492279741540557,254491.35399876226,000037.jpg,5.775116681156617,refined,3364589.9608090753,raw_refined_only,5.622596780956869,-146.4632316421923,175.6632316421923
107.53141843248159,0.7635815675184148,254497.50137124254,000038.jpg,2.5947833683667025,refined,3364581.5614487384,raw_refined_only,5.251274892001596,-142.7591093852179,171.9591093852179
110.39921170566231,2.116211705662309,254491.80397835415,000039.jpg,5.944751136847968,refined,3364593.920817449,raw_refined_only,7.794908825707961,-154.07248382134384,176.72751617865617
108.8207085300237,0.5497085300236932,254495.0856146258,000040.jpg,1.7958689281700833,refined,3364588.9262869377,raw_refined_only,1.3340689087212723,-148.6275375258657,177.8275375258657
106.90473566297442,1.355264337025588,254496.18604405178,000041.jpg,0.800201518323074,refined,3364588.813072491,raw_refined_only,0.25476470205138896,-151.4612636767705,179.3387363232295
107.83436294924468,0.4116370507553171,254495.27075028693,000042.jpg,2.274533575383041,refined,3364591.9812564813,raw_refined_only,2.8539545901592414,-148.32577364133212,177.5257736413321
108.8282676404342,0.6332676404342124,254497.28174353225,000043.jpg,2.6259461782954245,refined,3364589.3710123776,raw_refined_only,1.1666137283770948,-150.43305096877887,179.63305096877886
